Item_ID	Sentence	PP1	PP1Length	PP2	PP2Length	PNP1cat	PNP2cat	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
39884:9	i was pulling for kansas on the other side,	for kansas	2	on the other side	4	fullnp	fullnp	1096	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	100	163	B	2479	323	"CHILD CARE"	4	1	1
39952:45	they didn't have, they didn't have *-1 to go through some tough games during the year	through some tough games	4	during the year	3	fullnp	fullnp	1231	 "FEMALE"	 1956	 "MIXED"	 3	 "CASH"	131	201	A	2479	323	"CHILD CARE"	4	1	1
40312:6	i put him in a day care center from the very beginning.	in a day care center	5	from the very beginning	4	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	5	6	A	2485	331	"FAMILY REUNIONS"	2	1	1
40380:28	well he was in, he was in the same center for two years, for the first two years,	in the same center	4	for the first two years	5	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	35	44	A	2485	331	"FAMILY REUNIONS"	2	1	1
40433:21	well, i got *-1 to stay home with my kids for the first ten years.	with my kids	3	for the first ten years	5	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	57	75	A	2485	331	"FAMILY REUNIONS"	2	1	1
40639:8	so there is like a hundred and twenty second graders, in the same area with no walls.	in the same area	4	with no walls	3	fullnp	fullnp	1231	 "FEMALE"	 1956	 "MIXED"	 3	 "CASH"	150	187	B	2485	331	"FAMILY REUNIONS"	2	1	1
40651:24	but, it was just like * going to school until five thirty at night instead of being able *-1 to get home at two thirty.	to school	2	until five thirty at night	5	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	155	194	A	2485	331	"FAMILY REUNIONS"	2	1	1
40729:13	and, god he got up on this elephant all by himself	up on this elephant	4	all by himself	3		pronoun	1231	 "FEMALE"	 1956	 "MIXED"	 3	 "CASH"	194	235	B	2485	331	"FAMILY REUNIONS"	2	1	1
40743:30	and i thought, i'm going *-1 to end up on this elephant with him, you know,.	on this elephant	3	with him	2	fullnp	pronoun	1231	 "FEMALE"	 1956	 "MIXED"	 3	 "CASH"	200	242	B	2485	331	"FAMILY REUNIONS"	2	1	1
41046:18	because a lot of them lived in like a group, you know, down one highway.	in like a group	4	down one highway	3	fullnp	fullnp	1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	57	84	B	2486	303	"CLOTHING AND DRESS"	1	1	1
41106:12	so, did people come like from out of town to the reunion	from out of town	4	to the reunion	3			1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	81	119	B	2486	303	"CLOTHING AND DRESS"	1	1	1
41689:29	and, uh, to me i just wouldn't feel comfortable in that at work,	in that	2	at work	2	fullnp	fullnp	1233	 "FEMALE"	 1931	 "NEW ENGLAND"	 3	 "CASH"	167	286	A	2488	322	"CAPITAL PUNISHMENT"	3	2	1
41842:20	i mean you could hardly tell the women from the men except for the lengths of the pants.	from the men	3	except for the lengths of the pants	7	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	15	16	A	2490	314	"GUN CONTROL"	3	1	2
41989:21	and it said 0 they're going to other neighborhoods from there,	to other neighborhoods	3	from there	2	fullnp	fullnp	1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	74	108	B	2490	314	"GUN CONTROL"	3	1	2
42001:36	i think 0 they said 0 forty-one *ich*-2 had been shot *-1 out of one church in the last year.	out of one church	4	in the last year	4			1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	80	114	B	2490	314	"GUN CONTROL"	3	1	2
42006:10	but these people are on death row for like twenty years, you know.	on death row	3	for like twenty years	4	fullnp	fullnp	1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	82	117	B	2490	314	"GUN CONTROL"	3	1	2
42157:32	men *ich*-1 breaking in, uh, to houses and taking, or a man, they, they think 0 it's the same person, taking, uh, little girls right straight out of their beds at night. and, ku-, you know, breaking in, obviously watching them in the house, because they're breaking into the right window, you know, the little girl's bedroom. and taking them out, putting them in a car and driving them out and taking them out and molesting them and then bringing them back and throwing them back in their own front yards.	right straight out of their beds	6	at night	2			1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	142	207	B	2490	314	"GUN CONTROL"	3	1	2
42196:66	and he's taken them and, and raped them and then brought them right back and just kind of thrown them out of the car in their front yard.	out of the car	4	in their front yard	4			1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	156	233	B	2490	314	"GUN CONTROL"	3	1	2
42388:24	so, if you want them to stay in prison for fifteen years, * don't sentence them to fifteen years,	in prison	2	for fifteen years	3	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	229	351	A	2490	314	"GUN CONTROL"	3	1	2
42427:28	and if you commit this crime, you will be in prison for the rest of your life.	in prison	2	for the rest of your life	6	fullnp	fullnp	1083	 "FEMALE"	 1962	 "SOUTHERN"	 2	 "CASH"	15	23	A	2492	361	"GARDENING"	3	2	2
43045:32	did, um, you've been working on it for three years?	on it	2	for three years	3	pronoun		1064	 "FEMALE"	 1951	 "NORTHERN"	 9	 "GIFT"	139	240	B	2499	348	"MOVIES"	3	2	1
43225:56	but right now where we're living *t*-1 we have the trees where their, uh, roots are at the top of the ground everywhere over the ground *t*-2.	at the top of the ground	6	everywhere over the ground	4	fullnp	fullnp	1064	 "FEMALE"	 1951	 "NORTHERN"	 9	 "GIFT"	213	349	B	2499	348	"MOVIES"	3	2	1
43572:16	walt disney's kind of gotten worse in my opinion over the past few years.	in my opinion	3	over the past few years	5	fullnp	fullnp	1179	 "FEMALE"	 1959	 "SOUTH MIDLAND"	 2	 "GIFT"	41	67	A	2502	346	"LATIN AMERICA"	4	2	1
43604:8	and that was something for greedy old me at christmas time,	for greedy old me	4	at christmas time	3	pronoun		1179	 "FEMALE"	 1959	 "SOUTH MIDLAND"	 2	 "GIFT"	53	86	A	2502	346	"LATIN AMERICA"	4	2	1
43727:8	and i lived over in england for four years,	over in england	3	for four years	3			1179	 "FEMALE"	 1959	 "SOUTH MIDLAND"	 2	 "GIFT"	113	155	A	2502	346	"LATIN AMERICA"	4	2	1
44075:11	either they had painted with the wrong kind of paint over top	with the wrong kind of paint	6	over top	2	fullnp	fullnp	1019	 "MALE"	 1941	 "NEW ENGLAND"	 3	 "GIFT"	85	163	A	2503	351	"PETS"	2	1	1
44190:21	we, we fall out of, uh, agreements with certain leaders	out of, uh, agreements	4	with certain leaders	3			1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	3	5	A	2504	355	"ELECTIONS AND VOTING"	3	2	1
44388:8	idi amin was, you know, in power for so long.	in power	2	for so long	3	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	83	126	A	2504	355	"ELECTIONS AND VOTING"	3	2	1
44680:33	like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or rip up the carpet or do something just * to, uh, to, to let me know that she was unhappy with what i did *t*-1.	in a room	3	all by herself	3	fullnp	pronoun	1230	 "FEMALE"	 1961	 "MIXED"	 2	 "GIFT"	56	92	B	2510	351	"PETS"	2	2	2
44790:28	i'm, i'm looking for another cat for them.	for another cat	3	for them	2	fullnp	pronoun	1230	 "FEMALE"	 1961	 "MIXED"	 2	 "GIFT"	90	168	B	2510	351	"PETS"	2	2	2
45090:44	uh, and i don't know that, uh, a lot of people vote in primaries for that very reason.	in primaries	2	for that very reason	4	fullnp	fullnp	1073	 "MALE"	 1967	 "NORTHERN"	 3	 "CASH"	30	30	B	2521	307	"FOOTBALL"	3	1	2
45531:65	and until we got the dog, um, it *exp*-1 was real easy * to, to go to town for three d-, three day weekend or whatever,	to town	2	for three d-, three day weekend	6	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	199	307	A	2521	307	"FOOTBALL"	3	1	2
45659:16	and the cat's just looking at me like, sorry.	at me	2	like, sorry	2	pronoun		1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	42	78	B	2525	312	"CRIME"	1	1	1
45909:21	because, you know, they gave away a lot of their drafts. for different people for, you know, other places.	for different people	3	for, you know, other places	5	fullnp	fullnp	1018	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 3	 "GIFT"	139	232	A	2525	312	"CRIME"	1	1	1
45981:13	or either they'd trade him off to somebody else for two of these nobodies.	to somebody else	3	for two of these nobodies	5	fullnp	fullnp	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	9	21	A	2526	320	"BUYING A CAR"	2	2	2
46067:8	and i lived in, uh, outside of boston for five years	outside of boston	3	for five years	3			1024	 "MALE"	 1964	 "NORTH MIDLAND"	 2	 "GIFT"	40	76	B	2526	320	"BUYING A CAR"	2	2	2
46252:41	and with the, uh, people that *t*-1 are coming into the country from other countries, *-2 not knowing the language	into the country	3	from other countries	3	fullnp	fullnp	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	105	197	A	2526	320	"BUYING A CAR"	2	2	2
46318:6	he ran out to the store for a few minutes	out to the store	4	for a few minutes	4			1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	127	240	A	2526	320	"BUYING A CAR"	2	2	2
46356:53	the reasons that they're doing it *t*-1 compared to the reason 0 someone else is in jail for it *t*-2, you know, it's like two different things.	in jail	2	for it	2	fullnp	pronoun	1024	 "MALE"	 1964	 "NORTH MIDLAND"	 2	 "GIFT"	142	264	B	2526	320	"BUYING A CAR"	2	2	2
46471:68	but i was thinking boy, in dallas, if somebody asked me if there were places 0 you wouldn't go *t*-1 by yourself at night, i'd have *-2 to set them down for about five or ten minutes *-2 to list all the places out.	by yourself	2	at night	2	pronoun		1232	 "MALE"	 1958	 "SOUTH MIDLAND"	 3	 "CASH"	9	15	A	2527	321	"CAMPING"	2	2	2
47348:43	well, i'm only a little bit familiar with the red sox because i lived up in boston for a while,	up in boston	3	for a while	3			1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	64	105	B	2539	358	"FAMILY LIFE"	2	3	2
47360:17	i guess 0 they paired two women together on this call for a reason which *t*-1 is something 0 we can think about *t*-2 later	on this call	3	for a reason	3	fullnp	fullnp	1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	68	112	B	2539	358	"FAMILY LIFE"	2	3	2
47437:6	i heard the audio portion on the radio in the car	on the radio	3	in the car	3	fullnp	fullnp	1226	 "FEMALE"	 1970	 "SOUTHERN"	 2	 "CASH"	99	160	A	2539	358	"FAMILY LIFE"	2	3	2
47622:25	i have a, i had a friend *ich*-1 in college from strasbourg,	in college	2	from strasbourg	2	fullnp	fullnp	1078	 "MALE"	 1964	 "MIXED"	 9	 "GIFT"	25	51	A	2540	314	"GUN CONTROL"	2	2	2
47763:19	but the things that *t*-1 work in psychology other the years that they've proven *t*-2 to work, they just come out of the bible	in psychology	2	other the years	3	fullnp	fullnp	1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	5	12	A	2545	325	"COMPUTERS"	5	1	2
47864:14	and then we would go to a movie on thursdays	to a movie	3	on thursdays	2	fullnp	fullnp	1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	43	76	A	2545	325	"COMPUTERS"	5	1	2
47904:8	and he's like a little brother to me.	like a little brother	4	to me	2	fullnp	pronoun	1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	59	99	A	2545	325	"COMPUTERS"	5	1	2
47939:33	seem, when i was growing up *t*-1 my mom stayed at home with me and my brother until we were in junior high.	at home	2	with me and my brother	5	fullnp	fullnp	1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	73	121	A	2545	325	"COMPUTERS"	5	1	2
47953:16	they got *-1 to stay at home by themselves	at home	2	by themselves	2	fullnp	pronoun	1072	 "FEMALE"	 1941	 "SOUTH MIDLAND"	 2	 "CASH"	78	130	B	2545	325	"COMPUTERS"	5	1	2
48004:21	but i'd like *-1 to stay at home with them until they get in, at least into kindergarten, where they're at school from what, eight to three or something *t*-2	at home	2	with them	2	fullnp	pronoun	1072	 "FEMALE"	 1941	 "SOUTH MIDLAND"	 2	 "CASH"	98	162	B	2545	325	"COMPUTERS"	5	1	2
48004:83	but i'd like *-1 to stay at home with them until they get in, at least into kindergarten, where they're at school from what, eight to three or something *t*-2	at school	2	from what, eight to three or something	7	fullnp	fullnp	1072	 "FEMALE"	 1941	 "SOUTH MIDLAND"	 2	 "CASH"	98	162	B	2545	325	"COMPUTERS"	5	1	2
48103:22	and, and we lived in a trailer for eighteen years.	in a trailer	3	for eighteen years	3	fullnp	fullnp	1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	137	224	A	2545	325	"COMPUTERS"	5	1	2
48122:12	though we've had such a breakdown in the family structure, from the standpoint of, of, uh, church and school and everything along the way.	from the standpoint of, of, uh, church and school and everything	11	along the way	3	fullnp	fullnp	1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	143	238	A	2545	325	"COMPUTERS"	5	1	2
48126:130	and that i think 0 *t*-3 has contributed much to, uh, the delinquency that *t*-2 works grant and the poor school results that we're having *t*-1. uh, that the students', uh, parents have just not really taken enough interest in them from the very very beginning	in them	2	from the very very beginning	5	pronoun		1214	 "FEMALE"	 1960	 "NEW ENGLAND"	 2	 "CASH"	145	240	A	2545	325	"COMPUTERS"	5	1	2
48184:24	and then he would have *-1 to make decisions for himself along those same types of, of, uh, lines. so that, i think 0 he benefited from my experiences.	for himself	2	along those same types of, of, uh, lines	8	pronoun		1025	 "MALE"	 1953	 "SOUTH MIDLAND"	 2	 "GIFT"	6	19	B	2546	322	"CAPITAL PUNISHMENT"	3	1	2
48221:11	um, i lived in massachusetts for two years	in massachusetts	2	for two years	3	fullnp	fullnp	1069	 "MALE"	 1950	 "SOUTH MIDLAND"	 2	 "GIFT"	15	48	A	2546	322	"CAPITAL PUNISHMENT"	3	1	2
48313:6	we lived in new hampshire at the time.	in new hampshire	3	at the time	3	fullnp	fullnp	1025	 "MALE"	 1953	 "SOUTH MIDLAND"	 2	 "GIFT"	52	104	B	2546	322	"CAPITAL PUNISHMENT"	3	1	2
48685:31	you do run in-, you do run into limitations on yours?	into limitations	2	on yours	2	fullnp	pronoun	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	143	203	A	2547	343	"HOUSES"	3	1	2
48844:91	uh, you know, it, it *exp*-5 really irks me * to see so much effort put *-1 into * preventing someone being put *-2 to death by the state when they so callously and usually so, you know, without *-3 even thinking or without any concern, uh, you know, end somebody else's life, and in a lot of cases several people's lives *t*-6.	to death	2	by the state	3	fullnp	fullnp	1053	 "FEMALE"	 1967	 "SOUTH MIDLAND"	 2	 "GIFT"	47	77	B	2548	320	"BUYING A CAR"	1	2	1
48888:140	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who *t*-1 have been there *ich*-2 for literally for ten or fifteen years on death row,	for ten or fifteen years	5	on death row	3	fullnp	fullnp	1055	 "FEMALE"	 1965	 "SOUTH MIDLAND"	 2	 "CASH"	64	103	A	2548	320	"BUYING A CAR"	1	2	1
48919:88	and the, uh, the guy, that they tried and convicted *t*-1 and sentenced *t*-1 him to death, you know, he's been on death row for like eight years.	on death row	3	for like eight years	4	fullnp	fullnp	1053	 "FEMALE"	 1967	 "SOUTH MIDLAND"	 2	 "GIFT"	77	122	B	2548	320	"BUYING A CAR"	1	2	1
49482:10	and the clutch went out on it toward the end,	on it	2	toward the end	3	pronoun		1142	 "MALE"	 1963	 "NORTHERN"	 2	 "GIFT"	14	19	B	2554	315	"MIDDLE EAST"	4	3	2
49502:16	so, i don't feel comfortable in traffic with it.	in traffic	2	with it	2	fullnp	pronoun	1141	 "MALE"	 1962	 "MIXED"	 3	 "CASH"	23	31	A	2554	315	"MIDDLE EAST"	4	3	2
49670:11	would you ever buy a used car for a new car for yourself?	for a new car	4	for yourself	2	fullnp	pronoun	1142	 "MALE"	 1963	 "NORTHERN"	 2	 "GIFT"	88	133	B	2554	315	"MIDDLE EAST"	4	3	2
50088:27	i, uh, i went to purdue university for a couple of years and, uh, really learned *-1 to hate indianapolis while i was out there.	to purdue university	3	for a couple of years	5	fullnp	fullnp	1132	 "FEMALE"	 1942	 "SOUTH MIDLAND"	 3	 "CASH"	31	57	A	2558	327	"UNIVERSAL PBLIC SERV"	3	5	4
50153:162	and, uh, i just, i heard a comment *ich*-3 on the radio this morning that, uh, you know, it, it gets to a point where, uh, if enough people are, are going *-1 to be slaughtered *-2 over there over the, the, the internal problems, um, somebody may step in again *t*-4.	over there	2	over the, the, the internal problems	6			1132	 "FEMALE"	 1942	 "SOUTH MIDLAND"	 3	 "CASH"	63	92	A	2558	327	"UNIVERSAL PBLIC SERV"	3	5	4
50200:41	and it's certainly, and it's certainly been going on over there for hundreds of years.	over there	2	for hundreds of years	4			1132	 "FEMALE"	 1942	 "SOUTH MIDLAND"	 3	 "CASH"	79	121	A	2558	327	"UNIVERSAL PBLIC SERV"	3	5	4
50294:15	i mean * looking at it from the am-, the american public's standpoints, they don't understand the middle easterners.	at it	2	from the am-, the american public's standpoints	8	pronoun		1103	 "MALE"	 1950	 "SOUTH MIDLAND"	 2	 "GIFT"	25	38	A	2559	336	"RIGHT TO PRIVACY"	2	1	4
50336:24	i, i was stationed *-1 in, in turkey for, for a year and a half.	in turkey	2	for a year and a half	6	fullnp	fullnp	1013	 "FEMALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	42	63	B	2559	336	"RIGHT TO PRIVACY"	2	1	4
50575:38	the only reason 0 i got it *t*-1 is because i got it through an educational purchase plan through the school	through an educational purchase plan	5	through the school	3	fullnp	fullnp	1170	 "MALE"	 1952	 "WESTERN"	 3	 "CASH"	33	71	B	2565	365	"BASEBALL"	2	1	1
50871:44	i'm not so sure what kind of, uh, training *ich*-2 that is *t*-1 for the future for those kids.	for the future	3	for those kids	3	fullnp	fullnp	1027	 "FEMALE"	 1961	 "NORTH MIDLAND"	 2	 "CASH"	56	89	B	2566	323	"CHILD CARE"	2	2	2
51016:33	i, i know 0 the government sells information *ich*-1 to private companies about individuals or families.	to private companies	3	about individuals or families	4	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	119	177	A	2566	323	"CHILD CARE"	2	2	2
51296:6	they got him from the mets for hubie brooks.	from the mets	3	for hubie brooks	3	fullnp	fullnp	1027	 "FEMALE"	 1961	 "NORTH MIDLAND"	 2	 "CASH"	250	330	B	2566	323	"CHILD CARE"	2	2	2
51433:14	um, she was referred *-1 to me by a couple of people	to me	2	by a couple of people	5	pronoun		1168	 "MALE"	 1949	 "NORTH MIDLAND"	 2	 "CASH"	36	70	A	2568	348	"MOVIES"	1	1	1
51463:25	and, actually, i've started *-1 working up there in the afternoons, too.	up there	2	in the afternoons	3			1168	 "MALE"	 1949	 "NORTH MIDLAND"	 2	 "CASH"	46	89	A	2568	348	"MOVIES"	1	1	1
51475:25	but, uh, i really enjoyed *-1 being with her up there.	with her	2	up there	2	pronoun		1168	 "MALE"	 1949	 "NORTH MIDLAND"	 2	 "CASH"	52	96	A	2568	348	"MOVIES"	1	1	1
51496:25	but, but they still go through all their, uh, curriculum as usual.	through all their, uh, curriculum	5	as usual	2	fullnp	fullnp	1168	 "MALE"	 1949	 "NORTH MIDLAND"	 2	 "CASH"	58	111	A	2568	348	"MOVIES"	1	1	1
51527:52	and we questioned her about what she fed them *t*-4 and, um, what she did *t*-1 with them during the day and, um, you know, just how she treated them *t*-2, how, how her daughter was *t*-3 with the children when her daughter got home from school *t*-5 and, stuff like that.	with them	2	during the day	3	pronoun		1168	 "MALE"	 1949	 "NORTH MIDLAND"	 2	 "CASH"	68	131	A	2568	348	"MOVIES"	1	1	1
51694:25	and she's the kind that *t*-1 goes for convenience over anything else.	for convenience	2	over anything else	3	fullnp	fullnp	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	125	241	B	2568	348	"MOVIES"	1	1	1
51921:51	they've, um, they've had police officers come in and talk to them about it.	to them	2	about it	2	pronoun	pronoun	1083	 "FEMALE"	 1962	 "SOUTHERN"	 2	 "CASH"	47	85	A	2571	322	"CAPITAL PUNISHMENT"	1	2	1
52021:11	i haven't been to a movie theater in probably eight or nine months,	to a movie theater	4	in probably eight or nine months	6	fullnp	fullnp	1083	 "FEMALE"	 1962	 "SOUTHERN"	 2	 "CASH"	79	153	A	2571	322	"CAPITAL PUNISHMENT"	1	2	1
52454:26	and they pushed it back, to *-1 playing it in the theaters until like august,	in the theaters	3	until like august	3	fullnp	fullnp	1204	 "FEMALE"	 1951	 "NORTHERN"	 3	 "GIFT"	152	232	B	2584	321	"CAMPING"	5	5	1
52586:34	and so it kind of loses its meaning, if you sit on death row for months and years and so forth.	on death row	3	for months and years	4	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	209	308	A	2584	321	"CAMPING"	5	5	1
52612:23	he changes your heart * not to look upon a woman in lust.	upon a woman	3	in lust	2	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	219	324	A	2584	321	"CAMPING"	5	5	1
52693:23	we were, we went on a mission trip to manhattan and to the bronx and stuff, two years ago,	on a mission trip	4	to manhattan and to the bronx	6	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	249	374	A	2584	321	"CAMPING"	5	5	1
52946:32	you don't, you don't sound like it to me.	like it	2	to me	2	pronoun	pronoun	1232	 "MALE"	 1958	 "SOUTH MIDLAND"	 3	 "CASH"	105	148	A	2587	349	"NEWS MEDIA"	2	2	4
53202:56	and even at that, it, it was like the first time that i ventured, you know, out of the city by myself *t*-1.	out of the city	4	by myself	2		pronoun	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	59	152	A	2589	353	"PUBLIC EDUCATION"	1	2	1
53229:26	well, i, i was with t i until january.	with t i	3	until january	2	fullnp	fullnp	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	61	177	A	2589	353	"PUBLIC EDUCATION"	1	2	1
53334:9	i'll talk about anything to anybody.	about anything	2	to anybody	2	fullnp	fullnp	1179	 "FEMALE"	 1959	 "SOUTH MIDLAND"	 2	 "GIFT"	33	48	A	2593	364	"HOBBIES AND CRAFTS"	2	1	4
53797:6	he had just as much dirt *ich*-1 on him as anybody else.	on him	2	as anybody else	3	pronoun		1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	23	50	B	2598	348	"MOVIES"	1	1	1
53814:18	and they had *-1 to sit in there by themselves.	in there	2	by themselves	2		pronoun	1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	27	62	B	2598	348	"MOVIES"	1	1	1
53835:20	and, i mean, they looked like a closet *ich*-1 *ich*-2 to me. you know, with a desk in it, a real small.	to me	2	with a desk in it	5	pronoun		1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	35	75	B	2598	348	"MOVIES"	1	1	1
53910:24	but i really do try *-1 to use positive, uh, reinforcement with them at home, also.	with them	2	at home	2	pronoun		1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	59	126	B	2598	348	"MOVIES"	1	1	1
53979:6	it's more like maybe projects or something on the weekend.	more like maybe projects or something	6	on the weekend	3			1211	 "MALE"	 1964	 "SOUTH MIDLAND"	 2	 "CASH"	84	171	A	2598	348	"MOVIES"	1	1	1
54175:18	but, i didn't really talk about that with her.	about that	2	with her	2	fullnp	pronoun	1211	 "MALE"	 1964	 "SOUTH MIDLAND"	 2	 "CASH"	144	306	A	2598	348	"MOVIES"	1	1	1
54214:16	oh, um, i talked to someone about san antonio,	to someone	2	about san antonio	3	fullnp	fullnp	1211	 "MALE"	 1964	 "SOUTH MIDLAND"	 2	 "CASH"	158	332	A	2598	348	"MOVIES"	1	1	1
54255:34	but when it comes to palestinians *t*-1, if they're out in the street at night, it's, it's really looked on as odd.	out in the street	4	at night	2			1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	171	359	B	2598	348	"MOVIES"	1	1	1
54718:84	i, i might have seen part of that because the name sounds familiar although i wo-, i would remember, i think 0 *t*-1 in, with him in it.	with him	2	in it	2	pronoun	pronoun	1232	 "MALE"	 1958	 "SOUTH MIDLAND"	 3	 "CASH"	57	129	A	2602	338	"SOVIET UNION"	1	1	2
55016:6	i worked in, uh, missouri for a while	in, uh, missouri	3	for a while	3	fullnp	fullnp	1155	 "FEMALE"	 1941	 "WESTERN"	 2	 "CASH"	110	172	B	2603	356	"EXERCISE AND FITNESS"	2	1	1
55040:6	they make it to the playoffs it seems 0 *t*-1 for the last few years	to the playoffs	3	for the last few years	5	fullnp	fullnp	1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	117	189	A	2603	356	"EXERCISE AND FITNESS"	2	1	1
55093:6	they put a lot of pressure on him from the outside and from the inside.	on him	2	from the outside and from the inside	7	pronoun		1093	 "FEMALE"	 1960	 "NORTH MIDLAND"	 2	 "GIFT"	135	223	A	2603	356	"EXERCISE AND FITNESS"	2	1	1
55251:31	the team 0 i was with *t*-1, we jumped in on the western tip of, of the island down on point salinas.	on the western tip of, of the island	8	down on point salinas	4	fullnp	fullnp	1014	 "FEMALE"	 1947	 "MIXED"	 1	 "GIFT"	30	67	B	2604	327	"UNIVERSAL PBLIC SERV"	2	1	1
55343:91	i, i'm, i'm a little bit shocked to what the u s has done *t*-1 in terms of *-2 selling to iraq in the past ten to fifteen years.	to iraq	2	in the past ten to fifteen years	7	fullnp	fullnp	1211	 "MALE"	 1964	 "SOUTH MIDLAND"	 2	 "CASH"	71	118	A	2604	327	"UNIVERSAL PBLIC SERV"	2	1	1
55530:22	it pushes you because you're pushing against the water in itself.	against the water	3	in itself	2	fullnp	pronoun	1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	26	28	B	2608	306	"RECIPES/FOOD/COOKING"	1	1	1
55551:8	but i get blisters on my toes on the bottom because, i really jump a lot.	on my toes	3	on the bottom	3	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	35	40	A	2608	306	"RECIPES/FOOD/COOKING"	1	1	1
55960:71	it might not be the same neighborhood, but the same city or county, because then you're, you're coming in contact with it.	in contact	2	with it	2	fullnp	pronoun	1042	 "FEMALE"	 1938	 "NEW ENGLAND"	 1	 "CASH"	220	269	B	2608	306	"RECIPES/FOOD/COOKING"	1	1	1
56036:9	they've got, um, in most of the states around here i think, uh.	in most of the states	5	around here	2	fullnp	fullnp	1225	 "FEMALE"	 1946	 "SOUTHERN"	 1	 "CASH"	251	314	A	2608	306	"RECIPES/FOOD/COOKING"	1	1	1
56109:50	especially when we have dwindling, uh, resources such as oil that *t*-1's burning out of control in the persian gulf, and, and so forth *t*-2.	out of control	3	in the persian gulf	4			1110	 "MALE"	 1961	 "WESTERN"	 3	 "CASH"	9	26	A	2609	355	"ELECTIONS AND VOTING"	1	1	2
